field_id,table_name,field_name,description,data_type,required_when,unit_or_allowed_values,collection_method,collection_frequency,responsible_role,acceptable_evidence,validation_rule,sensitivity_class,linked_metrics
rights_grievance.affected_group_code,rights_grievance,affected_group_code,Pseudonymous affected group/person code,string,required,,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.consent_or_fpic_required,rights_grievance,consent_or_fpic_required,Whether consent/FPIC is required,boolean,required,true|false,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.consent_or_fpic_status,rights_grievance,consent_or_fpic_status,Consent/FPIC status,enum,required when required=true,obtained|withheld|pending|not_valid,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.severity,rights_grievance,severity,Program severity classification,enum,required,low|medium|high|critical,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.case_status,rights_grievance,case_status,Current case status,enum,required,open|under_investigation|remediation|closed|appealed,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.resolution_date,rights_grievance,resolution_date,Approved resolution date,date,required when closed,YYYY-MM-DD,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
rights_grievance.remedy_summary,rights_grievance,remedy_summary,Non-sensitive remedy/action summary,text,required when remediation/closed,,restricted grievance/rights process,event/continuous,rights officer,restricted case file and engagement record,critical/open blocks claim per rules; dates ordered,restricted personal/rights,M04
incident.record_id,incident,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
incident.farm_id,incident,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
incident.reporting_period_id,incident,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
incident.evidence_ids,incident,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
incident.data_status,incident,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
incident.qa_status,incident,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
incident.incident_id,incident,incident_id,Unique environmental/safeguard incident ID,string,required,,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.incident_type,incident,incident_type,Incident category,enum,required,fire|erosion|spill|contamination|buffer_breach|wildlife_mortality|hunting_collection|protected_area_disturbance|restoration_reversal|other,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.incident_date,incident,incident_date,Occurrence/discovery date,date,required,YYYY-MM-DD,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.geometry_id,incident,geometry_id,Incident location geometry ID,string,required,,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.affected_area_ha,incident,affected_area_ha,Affected area where applicable,decimal,required when area impact,ha,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.severity,incident,severity,Program severity class,enum,required,low|medium|high|critical,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.safeguard_failure_flag,incident,safeguard_failure_flag,Whether incident is a safeguard failure,boolean,required,true|false,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.authority_notified_date,incident,authority_notified_date,Date competent authority notified,date,required when legally/program required,YYYY-MM-DD,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.root_cause,incident,root_cause,Approved root-cause summary,text,required for material incident,,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
incident.corrective_action_status,incident,corrective_action_status,Corrective action status,enum,required,not_required|open|implemented|verified_closed,event report/investigation,event,farm data steward,"incident file, photos, authority record",location/date/evidence required; open material action escalated,restricted ecological,M03|M05|M06|M09|M11|M12|M13
species_observation.record_id,species_observation,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
species_observation.farm_id,species_observation,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
species_observation.reporting_period_id,species_observation,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
species_observation.evidence_ids,species_observation,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
species_observation.data_status,species_observation,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
species_observation.qa_status,species_observation,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
species_observation.species_observation_id,species_observation,species_observation_id,Unique opportunistic/target species record,string,required,,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.observation_date,species_observation,observation_date,Observation date,date,required,YYYY-MM-DD,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.geometry_id,species_observation,geometry_id,Restricted/generalized location ID,string,required,,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.taxon_scientific_name,species_observation,taxon_scientific_name,Scientific name or approved taxon code,text,required,,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.identification_confidence,species_observation,identification_confidence,Identification confidence,enum,required,confirmed|probable|uncertain,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.threat_status_source,species_observation,threat_status_source,Threat-list source/version,text,required,,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.threat_status,species_observation,threat_status,Threat status/category,text,required,,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.observation_type,species_observation,observation_type,Observation/evidence type,enum,required,visual|acoustic|camera|track_sign|specimen|eDNA|other,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.count_or_presence,species_observation,count_or_presence,Observed count or presence,decimal,required,count; use 1 for presence only,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.protection_action_required,species_observation,protection_action_required,Whether protection response is required,boolean,required,true|false,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
species_observation.protection_action_status,species_observation,protection_action_status,Protection action status,enum,required when action required,open|implemented|verified,field observation/approved external record,event/protocol schedule,trained observer/ecologist,photo/audio/survey record/expert validation,taxon/status/version required; location restricted,restricted ecological,M05|M16
crop_cycle.record_id,crop_cycle,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
crop_cycle.farm_id,crop_cycle,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
crop_cycle.reporting_period_id,crop_cycle,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
crop_cycle.evidence_ids,crop_cycle,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
crop_cycle.data_status,crop_cycle,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
crop_cycle.qa_status,crop_cycle,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
crop_cycle.crop_cycle_id,crop_cycle,crop_cycle_id,Unique field crop-cycle ID,string,required,,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.field_id,crop_cycle,field_id,Linked field ID,string,required,,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.crop_name,crop_cycle,crop_name,Crop/common name,text,required,,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.variety_or_cultivar,crop_cycle,variety_or_cultivar,Variety/cultivar where available,text,optional,,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.planting_date,crop_cycle,planting_date,Planting/start date,date,required,YYYY-MM-DD,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.harvest_date,crop_cycle,harvest_date,Harvest/end date,date,required when harvested,YYYY-MM-DD,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.managed_area_ha,crop_cycle,managed_area_ha,Area managed in this cycle,decimal,required,ha,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.shared_area_flag,crop_cycle,shared_area_flag,Intercrop/shared physical area flag,boolean,required,true|false,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.production_tonnes,crop_cycle,production_tonnes,Harvested production,decimal,required when harvested,metric tonnes,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.tillage_system,crop_cycle,tillage_system,Dominant tillage system,enum,required,no_till|reduced_till|conventional|other,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.preceding_crop_cycle_id,crop_cycle,preceding_crop_cycle_id,Previous crop cycle on field,string,required when available,,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
crop_cycle.residue_management,crop_cycle,residue_management,Post-harvest residue management,enum,required,retained|partially_removed|removed|burned|other,farm management record,each crop cycle,farm data steward,planting/harvest/production record,area <= field area unless explained; dates ordered; shared area handled,program-confidential,M10|M11
pesticide_application.record_id,pesticide_application,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
pesticide_application.farm_id,pesticide_application,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
pesticide_application.reporting_period_id,pesticide_application,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
pesticide_application.evidence_ids,pesticide_application,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
pesticide_application.data_status,pesticide_application,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
pesticide_application.qa_status,pesticide_application,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
pesticide_application.application_id,pesticide_application,application_id,Unique pesticide application event ID,string,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.crop_cycle_id,pesticide_application,crop_cycle_id,Linked crop cycle,string,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.field_id,pesticide_application,field_id,Treated field ID,string,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.application_start_datetime,pesticide_application,application_start_datetime,Application start timestamp,datetime,required,ISO 8601,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.product_trade_name,pesticide_application,product_trade_name,Applied product trade name,text,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.registration_number,pesticide_application,registration_number,Current product registration number,string,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.active_ingredients,pesticide_application,active_ingredients,Active ingredient names/codes,list,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.active_ingredient_concentration,pesticide_application,active_ingredient_concentration,Concentration per product amount,decimal,required,g or kg a.i. per L/kg product,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.product_amount_used,pesticide_application,product_amount_used,Total product amount used,decimal,required,L or kg; unit in amount_unit,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.amount_unit,pesticide_application,amount_unit,Product amount unit,enum,required,L|kg,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.treated_area_ha,pesticide_application,treated_area_ha,Actual treated area,decimal,required,ha,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.target_pest,pesticide_application,target_pest,Target pest/disease/weed,text,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.decision_basis,pesticide_application,decision_basis,IPM/decision basis for application,text,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.wind_speed_m_s,pesticide_application,wind_speed_m_s,Wind speed at application,decimal,required,m/s,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.rain_forecast_or_event,pesticide_application,rain_forecast_or_event,Relevant rain status,text,required,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.buffer_distance_m,pesticide_application,buffer_distance_m,Minimum maintained buffer distance,decimal,required,m,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.prohibited_product_flag,pesticide_application,prohibited_product_flag,Product prohibited by legal/program list,boolean,required,true|false,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
pesticide_application.incident_id,pesticide_application,incident_id,Linked incident if breach/spill/drift,string,required when incident occurred,,application log and product record,each application,farm operator/applicator,"application log, invoice, label, equipment record",positive amount/area; registration/list check; treated area plausible,program-confidential,M06|M10
ipm_scouting.record_id,ipm_scouting,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
ipm_scouting.farm_id,ipm_scouting,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
ipm_scouting.reporting_period_id,ipm_scouting,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
ipm_scouting.evidence_ids,ipm_scouting,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
ipm_scouting.data_status,ipm_scouting,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
ipm_scouting.qa_status,ipm_scouting,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
ipm_scouting.scouting_id,ipm_scouting,scouting_id,Unique scouting/decision event ID,string,required,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.crop_cycle_id,ipm_scouting,crop_cycle_id,Linked crop cycle,string,required,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.field_id,ipm_scouting,field_id,Scouted field ID,string,required,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.scouting_date,ipm_scouting,scouting_date,Scouting date,date,required,YYYY-MM-DD,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.target_pest,ipm_scouting,target_pest,Target pest/disease/weed,text,required,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.sampling_method,ipm_scouting,sampling_method,Approved scouting method/version,text,required,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.sampling_effort,ipm_scouting,sampling_effort,Effort/number of sampling units,decimal,required,method-specific,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.pest_measure,ipm_scouting,pest_measure,Raw pest observation/result,decimal,required,method-specific,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.action_threshold,ipm_scouting,action_threshold,Decision threshold used,decimal,required,same unit as pest_measure,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.natural_enemy_measure,ipm_scouting,natural_enemy_measure,Natural-enemy observation where protocol requires,decimal,required when applicable,method-specific,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.decision,ipm_scouting,decision,Management decision after scouting,enum,required,no_action|monitor|nonchemical_control|chemical_control|other,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
ipm_scouting.nonchemical_action,ipm_scouting,nonchemical_action,Non-chemical action implemented,text,required when selected,,field scouting record,protocol/crop cycle,farm data steward,dated scouting sheet/app record,method and effort present; decision traceable,program-confidential,M10
soil_cover_observation.record_id,soil_cover_observation,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
soil_cover_observation.farm_id,soil_cover_observation,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
soil_cover_observation.reporting_period_id,soil_cover_observation,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
soil_cover_observation.evidence_ids,soil_cover_observation,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
soil_cover_observation.data_status,soil_cover_observation,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
soil_cover_observation.qa_status,soil_cover_observation,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
soil_cover_observation.soil_cover_observation_id,soil_cover_observation,soil_cover_observation_id,Unique field soil-cover observation,string,required,,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.field_id,soil_cover_observation,field_id,Observed field,string,required,,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.crop_cycle_id,soil_cover_observation,crop_cycle_id,Linked crop cycle where applicable,string,optional,,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.observation_date,soil_cover_observation,observation_date,Observation date,date,required,YYYY-MM-DD,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.method_version,soil_cover_observation,method_version,Approved cover method/version,text,required,,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.living_cover_percent,soil_cover_observation,living_cover_percent,Observed living vegetation cover,decimal,required,percent,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.residue_cover_percent,soil_cover_observation,residue_cover_percent,Observed residue cover,decimal,required,percent,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.bare_soil_percent,soil_cover_observation,bare_soil_percent,Observed bare soil,decimal,required,percent,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.observation_points_count,soil_cover_observation,observation_points_count,Number of points/images represented,integer,required,count,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.erosion_signs_present,soil_cover_observation,erosion_signs_present,Observed erosion signs,boolean,required,true|false,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
soil_cover_observation.erosion_sign_type,soil_cover_observation,erosion_sign_type,Observed erosion type,list,required when signs present,sheet|rill|gully|sediment|other,field/photo/approved remote sensing observation,seasonal/key windows,farm data steward,geotagged observation/photo/imagery result,percentages each 0-100; method/effort required,program-confidential,M11
water_withdrawal.record_id,water_withdrawal,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
water_withdrawal.farm_id,water_withdrawal,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
water_withdrawal.reporting_period_id,water_withdrawal,reporting_period_id,Linked program reporting period,string,required,,system lookup,each record,farm data steward,reporting-period record,must exist in reporting_period table,program-confidential,
water_withdrawal.evidence_ids,water_withdrawal,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
water_withdrawal.data_status,water_withdrawal,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
water_withdrawal.qa_status,water_withdrawal,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
water_withdrawal.withdrawal_id,water_withdrawal,withdrawal_id,Unique withdrawal measurement/estimate,string,required,,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.water_source_id,water_withdrawal,water_source_id,Linked water source,string,required,,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.measurement_start_date,water_withdrawal,measurement_start_date,Measurement period start,date,required,YYYY-MM-DD,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.measurement_end_date,water_withdrawal,measurement_end_date,Measurement period end,date,required,YYYY-MM-DD,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.withdrawal_volume_m3,water_withdrawal,withdrawal_volume_m3,Total withdrawal volume,decimal,required,m3,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.measurement_method,water_withdrawal,measurement_method,Measurement/estimate method,enum,required,meter|pump_hours_flow_rate|invoice|model|other,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.meter_start_reading,water_withdrawal,meter_start_reading,Meter start reading,decimal,required when metered,m3,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.meter_end_reading,water_withdrawal,meter_end_reading,Meter end reading,decimal,required when metered,m3,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
water_withdrawal.irrigated_field_ids,water_withdrawal,irrigated_field_ids,Fields receiving water,list,required when irrigation,,meter/records/approved estimate,monthly/seasonal/annual,farm data steward,"meter photo/log, permit, invoice/model inputs",end >= start; meter delta reconciles; source/permit valid,program-confidential,M12
